"coord_id","short_name","tech_typ","lon","lat","tooltip_text","sampled","sampled_label","tech_label"
19,"Moray East O","offshore",-2.79053689483734,57.9673245234912,"Site: Moray East O<br>Type: offshore<br>coord id: 19",TRUE,"training","Offshore"
20,"KEITH HILL WINDFARM","onshore",-2.82545592635366,55.8172715487125,"Site: KEITH HILL WINDFARM<br>Type: onshore<br>coord id: 20",TRUE,"training","Onshore"
21,"Pogbie","onshore",-2.83302246285517,55.821847948471,"Site: Pogbie<br>Type: onshore<br>coord id: 21",TRUE,"training","Onshore"
22,"Dunlaw Extension","onshore",-2.84230437651772,55.7867958797867,"Site: Dunlaw Extension<br>Type: onshore<br>coord id: 22",TRUE,"training","Onshore"
23,"CLDRW-","onshore",-2.86614768634714,57.3664819360751,"Site: CLDRW-<br>Type: onshore<br>coord id: 23",FALSE,"validation","Onshore"
24,"Toddleburn","onshore",-2.87739100828523,55.7685526953796,"Site: Toddleburn<br>Type: onshore<br>coord id: 24",TRUE,"training","Onshore"
25,"Beatrice","offshore",-2.95015720565631,58.0882292626591,"Site: Beatrice<br>Type: offshore<br>coord id: 25",FALSE,"validation","Offshore"
26,"Solwaybank","onshore",-3.10775050033184,55.1001743102713,"Site: Solwaybank<br>Type: onshore<br>coord id: 26",TRUE,"training","Onshore"
27,"Dorenell  Farm One","onshore",-3.13168091572389,57.3508994892607,"Site: Dorenell  Farm One<br>Type: onshore<br>coord id: 27",TRUE,"training","Onshore"
28,"Crossdykes -","onshore",-3.17286998667626,55.1761484100541,"Site: Crossdykes -<br>Type: onshore<br>coord id: 28",TRUE,"training","Onshore"
29,"Burbo","offshore",-3.18492254214665,53.4881830165209,"Site: Burbo<br>Type: offshore<br>coord id: 29",TRUE,"training","Offshore"
30,"Burn of Whilk","onshore",-3.20385373693041,58.3567588954908,"Site: Burn of Whilk<br>Type: onshore<br>coord id: 30",TRUE,"training","Onshore"
31,"BURBO_EXTENSION","offshore",-3.27000001610102,53.4799919022702,"Site: BURBO_EXTENSION<br>Type: offshore<br>coord id: 31",TRUE,"training","Offshore"
32,"2__PEDGE","onshore",-3.2715144469842,58.4086507665401,"Site: 2__PEDGE<br>Type: onshore<br>coord id: 32",TRUE,"training","Onshore"
33,"Barrow","offshore",-3.29828439434881,53.9914618509849,"Site: Barrow<br>Type: offshore<br>coord id: 33",FALSE,"validation","Offshore"
34,"Moray West O","offshore",-3.31306643475321,58.0698877906006,"Site: Moray West O<br>Type: offshore<br>coord id: 34",FALSE,"validation","Offshore"
35,"Tullymurdoch  Farm","onshore",-3.31341381775329,56.6549084890489,"Site: Tullymurdoch  Farm<br>Type: onshore<br>coord id: 35",TRUE,"training","Onshore"
