"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
549.208320657423,599.917735919619,648.203924373521,612.449322795098,596.495848909854,0.772,0.785,0.72,0.988,0.995,0.96,1
1234.92794394324,1282.8544638865,1335.00251109519,1273.30793478114,1286.31647140522,0.74,0.775,0.6,0.968,0.99,0.88,1
286.589244607088,339.654155371288,391.145872751123,336.670798916953,340.626108864292,0.74,0.745,0.72,0.976,0.985,0.94,1
358.742589289735,410.702448394499,459.902686460559,404.196479101944,409.236435881409,0.776,0.775,0.78,0.984,1,0.92,1
0.438762126813119,52.2039755810327,101.040153743608,60.0583251354654,50.3841018610459,0.844,0.875,0.72,0.992,1,0.96,1
273.942878370207,322.510268888078,367.629286680847,326.104398768807,321.58903287104,0.752,0.775,0.66,0.976,0.99,0.92,1
-10.0291808201278,42.8295507613167,95.6715091146963,35.2817847274813,39.8804754905616,0.812,0.82,0.78,0.996,0.995,1,1
338.169767250255,385.86182954679,438.424211464989,380.345258086563,390.678932025529,0.8,0.82,0.72,0.992,0.99,1,1
513.174197016307,556.711372593615,600.05189521101,568.212126065826,555.675649261198,0.784,0.815,0.66,0.988,0.995,0.96,1
518.812257090737,565.991819618047,616.425028199085,565.728885982492,568.377074447466,0.712,0.76,0.52,0.98,0.995,0.92,1
426.025121218842,474.535871015868,526.52737443566,460.440599125051,478.132972584532,0.78,0.805,0.68,0.976,0.99,0.92,1
509.088861252507,554.144248490922,598.451771262269,562.301317278853,553.199578762187,0.74,0.805,0.48,0.976,0.995,0.9,1
334.215138649821,375.546919854776,416.075655373287,373.477532104754,378.581606146753,0.8,0.84,0.64,0.964,0.995,0.84,1
436.379623128029,487.29858457155,540.789756688456,480.77159281044,487.541165576952,0.8,0.785,0.86,0.976,0.975,0.98,1
772.684053835028,825.294511575084,876.413549216602,812.00394840495,824.419599486842,0.816,0.845,0.7,0.984,0.99,0.96,1
459.253741983171,510.854355739476,561.213017679161,520.332132239154,507.110520807947,0.796,0.815,0.72,0.992,1,0.96,1
893.361200461114,937.779976216469,982.251916175316,926.299591721132,936.948267407389,0.832,0.855,0.74,0.988,1,0.94,1
881.832437471046,927.591863710129,969.406144157828,923.977580755527,928.427374319978,0.864,0.88,0.8,0.992,1,0.96,1
981.616824793193,1032.46253471958,1089.77796550683,1028.0042557093,1034.83629987672,0.816,0.835,0.74,0.992,1,0.96,1
775.739958942124,823.229063277898,866.449655678344,814.174116198647,820.157572833562,0.836,0.84,0.82,0.992,1,0.96,1
174.89143897313,224.998381296252,276.874594268538,226.310362369743,225.355737740761,0.8,0.8,0.8,0.988,0.995,0.96,1
185.241502976114,241.909670261485,292.299235861539,247.841033267236,236.491945721179,0.724,0.735,0.68,0.968,0.985,0.9,1
65.7769794672974,110.893177917078,159.659021264627,113.907201160496,112.607540264655,0.856,0.865,0.82,0.98,0.995,0.92,1
293.588954901757,336.16132122423,384.447509626576,334.45548809364,336.426749166366,0.76,0.805,0.58,0.984,0.99,0.96,1
577.172950039867,623.129026163229,668.864007343031,626.500158169795,620.486436226637,0.812,0.83,0.74,0.984,0.99,0.96,1
173.08281433314,221.668348431165,277.256653212306,230.128675358883,226.802228115495,0.78,0.82,0.62,0.988,0.995,0.96,1
459.479564384775,506.826207665614,551.30482351969,511.645308178693,503.575300307968,0.828,0.85,0.74,0.992,1,0.96,1
190.019911305004,232.051257928689,283.943043511961,222.806471051167,232.584590708017,0.768,0.815,0.58,0.972,1,0.86,1
-173.190122321518,-121.056584413739,-69.5527785801266,-118.901393278308,-124.3039478753,0.756,0.765,0.72,0.984,0.99,0.96,1
220.308090289239,275.241335560541,328.316158271284,279.985073843089,276.239605027449,0.792,0.805,0.74,0.972,0.99,0.9,1
311.663144430237,357.692954724019,408.032597039507,363.294266678956,356.169711289149,0.88,0.905,0.78,0.976,0.99,0.92,1
698.367318894794,747.585948380446,794.635413600726,732.537177732422,749.586760546866,0.784,0.805,0.7,0.976,1,0.88,1
